chassis,variant,gsmm,alpha,X,glc,EtOH,For,Ac,yield,peak_S
WT,A,iJO1366,0.0,0.5509006250007701,33.49267964459647,18.00201814346061,36.00403628692122,17.074524956329306,0.8370181801350143,0.0
WT,A,iJO1366,0.15,0.48608479063586474,35.746180182070255,18.474105537122735,27.869728918657785,13.128018972248897,0.9595033978618146,1.2825
WT,A,iJO1366,0.3,0.43849644330262677,37.22259890440432,19.749258157687294,20.751214692716577,9.65723429613694,1.110919309942337,2.565
WT,A,iJO1366,0.45,0.406304134354867,38.170657638101886,20.749646691486593,15.847267029897326,7.2640714507717385,1.2329445943451782,3.8475
WT,A,iJO1366,0.6,0.3764280637810187,39.1244658975803,21.049794565349814,12.223094108550995,5.504332628643695,1.325926701397811,5.13
WT,A,iJO1366,0.75,0.3411478266033786,40.392835277977525,20.387384391522243,9.367510027060117,4.135616750149617,1.3957112676894254,6.4125
WT,A,iJO1366,0.9,0.2963232468541435,42.140993719941726,18.62771306818196,6.995605751618479,3.0225205841859752,1.4486121759711548,7.695
WT,A,iJO1366,1.05,0.24280030758152749,44.32590760745938,15.895932191180446,5.012979277291436,2.116769308313832,1.4892069139563568,8.9775
WT,A,iJO1366,1.2,0.1857868616102651,46.71676983325438,12.59813105866781,3.4101557166856766,1.4067227796970185,1.5209200764751254,10.26
WT,A,iJO1366,1.35,0.13249471783709169,48.9922819835034,9.290345614417976,2.1947291677197542,0.884336959057311,1.5464017433753732,11.5425
WT,A,iJO1366,1.5,0.0885351379237344,50.89636951251655,6.433301365099474,1.3408213093674293,0.5277099115767647,1.567709710882057,12.825
KO11,A,iJO1366,0.0,0.5509006250002841,33.492679644609524,18.002018143449988,36.004036286899975,17.074524956319124,0.8370181801350284,0.0
KO11,A,iJO1366,0.15,0.48608479063586085,35.74618018207022,18.474105537122824,27.869728918657874,13.128018972248936,0.9595033978618175,1.2825
KO11,A,iJO1366,0.3,0.4384964433026369,37.22259890440395,19.74925815768769,20.751214692717078,9.65723429613718,1.1109193099423362,2.565
KO11,A,iJO1366,0.45,0.4063041343548817,38.170657638101524,20.74964669148701,15.847267029897747,7.26407145077194,1.2329445943451762,3.8475
KO11,A,iJO1366,0.6,0.37642806378102034,39.1244658975803,21.049794565349814,12.223094108550994,5.504332628643694,1.325926701397811,5.13
KO11,A,iJO1366,0.75,0.34114782660338067,40.39283527797752,20.38738439152226,9.367510027060135,4.135616750149625,1.395711267689426,6.4125
KO11,A,iJO1366,0.9,0.2963232468541606,42.14099371994109,18.627713068182857,6.995605751618845,3.0225205841861436,1.4486121759711532,7.695
KO11,A,iJO1366,1.05,0.2428003075815366,44.325907607459236,15.895932191180616,5.012979277291529,2.116769308313877,1.489206913956353,8.9775
KO11,A,iJO1366,1.2,0.18578686161027516,46.71676983325411,12.59813105866818,3.410155716685791,1.4067227796970712,1.5209200764751205,10.26
KO11,A,iJO1366,1.35,0.13249471783709696,48.99228198350315,9.290345614418353,2.194729167719855,0.8843369590573579,1.54640174337537,11.5425
KO11,A,iJO1366,1.5,0.08853513792373621,50.89636951251652,6.433301365099529,1.340821309367446,0.5277099115767719,1.5677097108820597,12.825
LY160,A,iJO1366,0.0,0.35918837698356554,38.930015856141004,26.435206767457924,5.385011573991734,0.1846019055887538,1.6450051556248677,0.0
LY160,A,iJO1366,0.15,0.3572171994695844,39.00405906449651,26.323543919793874,5.350629533622907,0.18342326556488192,1.6456389796593927,1.2825
LY160,A,iJO1366,0.3,0.3541699505051594,39.125551090487505,26.138450686699603,5.274229727481389,0.18168918740847836,1.646573738445596,2.565
LY160,A,iJO1366,0.45,0.34771814423282627,39.39656577249802,25.713971556166484,5.109588025589369,0.1782289065276432,1.647968721580797,3.8475
LY160,A,iJO1366,0.6,0.33458266158267197,39.96141611778616,24.807019679573813,4.836941711823844,0.17142017276526772,1.649558221297227,5.13
LY160,A,iJO1366,0.75,0.31115762452529394,40.98006088871005,23.15013270363677,4.421939096791599,0.15946852785392235,1.6512291900750464,6.4125
LY160,A,iJO1366,0.9,0.2753314495287404,42.54802097822424,20.58481044013826,3.834723193145434,0.14131544117166608,1.6531356504969987,7.695
LY160,A,iJO1366,1.05,0.2286761605125059,44.59945313278167,17.215896331539398,3.1171185989561554,0.11673999681493703,1.6552876066356172,8.9775
LY160,A,iJO1366,1.2,0.17674415315037117,46.89295480728107,13.43875142059314,2.3568805364830117,0.08971205529084673,1.6576633164278776,10.26
LY160,A,iJO1366,1.35,0.12700527326454306,49.100362929996955,9.795528648960246,1.6557883152557853,0.0640850039542822,1.6603612277721331,11.5425
LY160,A,iJO1366,1.5,0.08536893618716822,50.959389186579315,6.721653557498135,1.0873521929977092,0.04280425582578469,1.6635241224352768,12.825
WT,B,iML1515,0.0,0.23971947594977305,42.657572010993626,11.02821800619441,22.05643601238882,10.680698216922803,0.8935209519567336,0.0
WT,B,iML1515,0.15,0.21592962703030602,43.70104918792541,11.934707132343176,16.732290914448324,8.06243828451786,1.056266845554296,1.2825
WT,B,iML1515,0.3,0.19810180609608943,44.37819769924496,13.0555031417085,12.275227263705498,5.86650585334231,1.22912315368367,2.565
WT,B,iML1515,0.45,0.18558130486989594,44.83292273760812,13.790007825218124,9.318600360190372,4.410092871589523,1.35633943456174,3.8475
WT,B,iML1515,0.6,0.1732595032497912,45.33713566144637,13.996692860779707,7.184810950627716,3.3627947517442296,1.4485035047977064,5.13
WT,B,iML1515,0.75,0.1579074391156059,46.058495192048284,13.552117003488615,5.523751122818552,2.5544260358158297,1.5156416391384884,6.4125
WT,B,iML1515,0.9,0.137767395567912,47.08837352918782,12.389262969582955,4.1436244533076145,1.8917102150960035,1.5659565091059102,7.695
WT,B,iML1515,1.05,0.11329504741112531,48.397775684697656,10.592528737367209,2.9853571774074052,1.3446967184612482,1.6043878898231787,8.9775
WT,B,iML1515,1.2,0.08697311387878116,49.84412823231752,8.427704864330895,2.042897315143401,0.9074002544904688,1.6345838771934937,10.26
WT,B,iML1515,1.35,0.062201349950058306,51.23079561047995,6.253514183660245,1.321968390927456,0.5788631765544545,1.6591072113381828,11.5425
WT,B,iML1515,1.5,0.04167340859175441,52.39812087063884,4.37053340462785,0.8121607291834524,0.35051514517984406,1.6797603529342084,12.825
KO11,B,iML1515,0.0,0.23971947594977416,42.657572010993576,11.028218006194452,22.056436012388904,10.680698216922845,0.8935209519567335,0.0
KO11,B,iML1515,0.15,0.21592962703030807,43.701049187925285,11.934707132343304,16.732290914448527,8.062438284517956,1.0562668455542954,1.2825
KO11,B,iML1515,0.3,0.19810180609610306,44.378197699244346,13.05550314170924,12.27522726370626,5.866505853342685,1.2291231536836689,2.565
KO11,B,iML1515,0.45,0.1855813048698878,44.83292273760838,13.790007825217842,9.318600360190096,4.410092871589386,1.3563394345617465,3.8475
KO11,B,iML1515,0.6,0.1732595032497868,45.33713566144654,13.996692860779476,7.184810950627567,3.3627947517441568,1.448503504797708,5.13
KO11,B,iML1515,0.75,0.15790743911560481,46.058495192048326,13.552117003488563,5.5237511228185205,2.5544260358158164,1.51564163913849,6.4125
KO11,B,iML1515,0.9,0.13776739556791034,47.08837352918803,12.389262969582653,4.143624453307524,1.8917102150959642,1.5659565091059142,7.695
KO11,B,iML1515,1.05,0.11329504741112721,48.39777568469757,10.592528737367392,2.9853571774074465,1.3446967184612688,1.6043878898231858,8.9775
KO11,B,iML1515,1.2,0.08697311387878302,49.84412823231743,8.427704864331018,2.042897315143441,0.9074002544904881,1.6345838771934882,10.26
KO11,B,iML1515,1.35,0.062200703796845856,51.23083476531377,6.254073209682239,1.3219547003490493,0.5788571632717677,1.6592727620769518,11.5425
KO11,B,iML1515,1.5,0.04167220492677192,52.39819575421513,4.3719424041168145,0.8121373811640572,0.35050502115062576,1.6803502458725363,12.825
LY160,B,iML1515,0.0,0.16488021866642424,45.22774589691973,17.44524197017656,1.9810785677558824,0.06788415107083821,1.7851809609287297,0.0
LY160,B,iML1515,0.15,0.1641708094558116,45.26138990399507,17.39081872648811,1.968938077614645,0.0674681418926877,1.7857598317466616,1.2825
LY160,B,iML1515,0.3,0.16303955941974843,45.31935298945953,17.29292519385077,1.951920668089737,0.06688501893238448,1.7863398154092296,2.565
LY160,B,iML1515,0.45,0.16042418024858748,45.4628621159749,17.04212179940773,1.91774468842952,0.06571393596575792,1.7869220311843905,3.8475
LY160,B,iML1515,0.6,0.15471338677757895,45.7850415555485,16.47182501661915,1.8478522520800256,0.063318983647823,1.7875094191593615,5.13
LY160,B,iML1515,0.75,0.14419213753202212,46.385550702100026,15.403563727984762,1.722569402404218,0.059026009087196955,1.7881077704804458,6.4125
LY160,B,iML1515,0.9,0.12785874324784754,47.32380592666136,13.73262323263702,1.5191903251437124,0.05243848159009399,1.7889885406016353,7.695
LY160,B,iML1515,1.05,0.10641707577649387,48.56150925025479,11.52530250808972,1.255131890919439,0.04384013339364487,1.7900627578824748,8.9775
LY160,B,iML1515,1.2,0.08243502334460918,49.952789276894265,9.041302697804934,0.9646463554626244,0.034241423426690315,1.791346387899867,10.26
LY160,B,iML1515,1.35,0.05936786605655052,51.29914726417008,6.635380393827965,0.6890464482764055,0.024999025836591034,1.792932836691211,11.5425
LY160,B,iML1515,1.5,0.039991226243700495,52.43908879962666,4.5967248481420855,0.46016699159999713,0.01720631585518505,1.7949567511251292,12.825
